timestamp_utc,elapsed_sec,phase,service,container_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,gpu_available,gpu_count,gpu_memory_used_mb,gpu_memory_total_mb,gpu_utilization_percent_max,gpu_per_device
2026-04-18T07:23:01.564980+00:00,2157.663,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,210.68,1737314271,16481936998,10.54,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:23:03.511766+00:00,2159.617,text_processing,text-processing-service,tgn-implementation-text-processing-service-1,0.18,172385894,16481936998,1.05,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:23:05.597656+00:00,2161.697,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,94.63,203948032,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:23:05.597656+00:00,2161.697,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.3,1172526071,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:23:12.515751+00:00,2168.615,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,91.16,204052889,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:23:12.515751+00:00,2168.615,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.29,1172526071,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:23:20.000177+00:00,2176.101,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,80.29,204367462,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:23:20.000177+00:00,2176.101,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.25,1172526071,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:23:27.172208+00:00,2183.271,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,91.09,204577177,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:23:27.172208+00:00,2183.271,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.27,1172526071,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
